,Freeze,LR,KFold,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,segm/AP,segm/AP50,segm/AP75,segm/APl,segm/APm,segm/APs,mask_rcnn/accuracy,mask_rcnn/false_negative,mask_rcnn/false_positive
0,3,0.01,2,44.878256752992506,65.97175845503061,51.63133161409081,51.70796959359273,10.770169661639438,70.0,46.57679718409698,67.37886187415127,51.877523200934185,54.57054681636547,8.690229544404906,90.0,0.925227384653251,0.062115210986623426,0.08280618280924668
0,3,0.01,3,47.10236075499454,67.97043030658844,53.55225620652143,54.169408289227995,9.846984290665254,76.66666666666667,48.74415131684636,69.40467196116553,53.67715560009344,56.47056855342358,8.740592614616189,90.0,0.92648385015521,0.058887381657763756,0.07753035655040828
0,3,0.01,4,43.97276973030711,65.21089500683712,50.51899621804562,50.72485101016148,10.700521772530557,62.96296296296296,45.73733175185547,66.96956861278402,50.08807566972296,53.817898062452194,9.695585287868585,23.159722222222218,0.9310210700798282,0.061446021823554374,0.07334315289573999
0,3,0.005,0,47.22697792929563,69.50810274374165,54.06955466007688,54.080951621361486,9.982686702792423,80.0,48.85010950440969,71.3214158963013,54.57690723484569,56.75581077152213,8.357851550873189,90.0,0.9283031887089757,0.06616061001934011,0.07362643505660833
0,3,0.005,1,46.87145548285857,68.1620792915784,53.80376269727543,54.59470446921555,8.06624864125345,83.33333333333333,47.68629180625655,69.50445665334162,52.80532036083997,56.380423362927935,6.597371770403026,90.0,0.9287405879254633,0.06011682203446244,0.07505735918920829
0,3,0.005,2,49.36620490081981,70.11426165319848,56.95133291876643,56.46841316258642,10.751402580136558,80.0,50.279443436900095,71.67174602484886,55.94654916002889,58.15677108698289,8.502130981795217,90.0,0.9311182945324337,0.057908735185873285,0.07842096145060841
0,3,0.005,3,49.401844422765414,70.69810671772179,55.33250689125839,56.70331678621636,10.555961289576638,80.0,50.29461682982173,72.70595903647624,56.0122157371822,58.43705314798391,8.80478862326966,90.0,0.936131899447353,0.057301320349016825,0.06908061367035064
0,3,0.005,4,47.86795045782278,69.98663065019063,53.828449723954265,54.46230401340924,11.904193636892801,90.0,49.15975314469146,71.58966298316263,53.417233433523826,56.75190344995709,9.696373487189959,90.0,0.9306352524025739,0.05847466360043744,0.07692198201156164
0,3,0.0025,0,49.91190578380707,70.84803329113794,56.60579454964638,57.332217821953144,10.262123594815485,73.33333333333333,50.424310282205056,72.86429723876135,55.4925439545929,58.77680416836737,8.256619545968965,90.0,0.93528222015224,0.05520322354597029,0.0707881041274409
0,3,0.0025,1,48.76256017778473,69.02822467730242,55.70735866255458,55.728447410795205,10.359063701531548,80.0,49.232521586047575,71.36240687214578,54.37653335464404,57.008194550948474,8.665961907941057,90.0,0.9303257538308278,0.05795947417442368,0.07298326193521633
0,3,0.0025,2,48.84688601126743,70.1978816876384,55.52616969451347,56.0155445265001,10.906443950692315,80.0,49.09624180614958,71.63130878355526,54.28144538036139,57.20213229002491,8.237331998507559,90.0,0.9277717259404502,0.0633341232033151,0.07867068364370332
0,3,0.0025,3,50.18984071115491,72.06470286682888,56.89634814435389,57.2979434609639,11.253319355258528,80.0,50.26667399329441,73.53991326945258,55.54065992512172,57.99087566263501,9.061310711146808,90.0,0.930977778487177,0.06567707830656754,0.07428989066936843
0,3,0.0025,4,50.3098144559558,71.58149593483292,57.70264284416279,57.375062723932906,11.19420243099294,80.0,51.60497731266576,73.41595451028537,57.3315120577804,59.63857450810215,9.006630898522925,90.0,0.9351417129074385,0.05925498958410247,0.06761982554884378
0,3,0.001,0,50.004629869993266,71.06113989293247,56.80764536768111,57.22926381547975,11.179546085865903,80.0,50.8993927277946,72.75551928377615,56.01756845415694,59.15849292531605,8.946976787645037,90.0,0.92904888129517,0.06539249133136983,0.08237694362837474
0,3,0.001,1,50.240863464089635,70.54677408801537,57.963572712873464,57.62634637444836,9.920746628184999,80.0,50.46623709641648,72.19815564768523,55.49081437924064,58.85788634473641,7.75793167563202,90.0,0.9217850253115255,0.06698822491570681,0.08595966476796812
0,3,0.001,2,48.96466923656655,69.7867034778209,54.19961057477108,56.22350805410722,10.209860558319065,83.33333333333333,48.63401286666408,71.39994785849598,53.15068984176,56.7267304253543,7.846053116818099,90.0,0.9279333095070855,0.061116941913803104,0.08456993161242261
